frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.917,9.454,-2.958,9.454,0,confederate
0,1,-3.622,8.957,-3.259,8.301,12,confederate
1,0,-2.78,8.841000000000001,-2.784,8.8985,3,confederate
1,1,-3.529,8.727,-3.144,8.008,15,confederate
2,0,-2.947,9.454,-2.958,9.454,3,confederate
2,1,-3.441,8.509,-3.259,8.301,15,confederate
3,0,-2.894,9.42175,-2.938,9.3895,3,confederate
3,1,-3.507,8.6715,-3.3,8.404,15,confederate
4,0,-3.0095,9.68975,-3.042,9.724,0,confederate
4,1,-3.463,8.616,-3.26,8.3025,15,confederate
5,0,-2.9655,9.587,-3.021,9.6555,0,confederate
5,1,-3.529,8.727,-3.201,8.201,15,confederate
6,0,-2.9425,9.5205,-2.958,9.454,6,confederate
6,1,-3.823,9.454,-3.45,8.84,9,confederate
7,0,-2.947,9.454,-2.958,9.454,6,confederate
7,1,-3.771,9.325,-3.387,8.7835,9,confederate
8,0,-2.9575,9.55375,-2.979,9.5205,6,confederate
8,1,-3.823,9.454,-3.261,8.4565,9,confederate
9,0,-2.7945,9.076,-2.84,9.076,0,confederate
9,1,-3.72,9.199,-2.933,7.6055,15,confederate
10,0,-2.9065,9.325,-2.917,9.325,0,confederate
10,1,-3.378,8.3525,-3.125,8.1045,15,confederate
11,0,-2.9375,9.48725,-2.958,9.454,0,confederate
11,1,-3.578,9.076,-3.5,9.076,15,confederate
12,0,-2.955,9.587,-2.999,9.587,0,confederate
12,1,-3.322,8.616,-3.322,8.616,12,confederate
13,0,-2.9145,9.48725,-2.999,9.587,0,confederate
13,1,-3.379,8.404,-3.201,8.301,12,confederate
14,0,-2.9575,9.48725,-2.979,9.5205,0,confederate
14,1,-3.622,9.262,-3.572,9.262,12,confederate
15,0,-3.0205,9.48825,-3.022,9.587,3,confederate
15,1,-3.464,8.616,-3.182,8.251,12,confederate
16,0,-3.0215,9.62125,-3.022,9.587,3,confederate
16,1,-3.378,8.616,-3.322,8.616,15,confederate
