frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.592,8.728,-2.596,8.8985,9,confederate
0,1,-1.2855,9.1375,-1.451,9.325,6,confederate
1,0,-2.699,8.728,-2.699,9.325,9,confederate
1,1,-1.303,9.16825,-1.472,9.456,9,confederate
2,0,-2.814,9.2005,-2.814,9.724,12,confederate
2,1,-1.243,8.64475,-1.358,8.727,9,confederate
3,0,-2.837,8.622,-2.837,9.724,3,confederate
3,1,-1.281,8.957,-1.412,9.076,9,confederate
4,0,-2.837,9.199,-2.797,9.587,3,confederate
4,1,-1.353,9.39475,-1.546,9.9375,9,confederate
5,0,-2.7345,9.04625,-2.669,9.076,12,confederate
5,1,-1.248,8.8995,-1.432,9.199,9,confederate
6,0,-2.706,8.64925,-2.786,9.325,12,confederate
6,1,-1.3015,9.076,-1.471,9.454,9,confederate
7,0,-2.837,9.23125,-2.83,9.325,12,confederate
7,1,-1.322,9.2065,-1.503,9.6555,9,confederate
8,0,-2.9235,9.48725,-2.891,9.454,12,confederate
8,1,-1.2945000000000002,9.018,-1.441,9.262,9,confederate
9,0,-2.78,9.1085,-2.833,9.262,12,confederate
9,1,-1.2625000000000002,8.92775,-1.403,9.0165,9,confederate
10,0,-2.8485,9.17325,-2.916,9.3895,12,confederate
10,1,-1.276,8.92775,-1.403,9.0165,9,confederate
11,0,-2.635,8.604,-2.739,8.957,12,confederate
11,1,-1.264,8.7835,-1.376,8.84,9,confederate
12,0,-2.896,9.456,-2.852,9.325,12,confederate
12,1,-1.335,9.30025,-1.57,10.0895,9,confederate
13,0,-2.6245,8.728,-2.703,8.84,12,confederate
13,1,-1.285,8.92775,-1.394,8.957,9,confederate
14,0,-2.8455,9.23525,-2.891,9.454,12,confederate
14,1,-1.335,9.36175,-1.581,10.162,9,confederate
15,0,-2.827,9.2055,-2.891,9.454,15,confederate
15,1,-1.304,9.10675,-1.412,9.076,9,confederate
16,0,-2.896,9.35725,-2.872,9.3895,15,confederate
16,1,-1.319,9.30025,-1.558,10.0125,9,confederate
17,0,-2.827,9.2935,-2.891,9.454,15,confederate
17,1,-1.3485,9.36325,-1.558,10.0125,9,confederate
